,user,text,favorite_count,retweet_count,created_at
79,FutSheriff,"🚨LAST GIVEAWAY FOR TOTS PL 😍👀🔥

To enter:

- RT

- Follow @fsheriff_backup and @FUTCoinShop 

Simple as that. 

Good Luck!🤞 https://t.co/kqzgF22Pu2",1839,3579,2023-05-08 12:45:09+00:00
80,FutSheriff,"i believe its fake

imo he only has 3options

1-  barcelona
2-  city
3- MLS https://t.co/BRYGkK5LoG",1523,16,2023-05-08 12:33:23+00:00
81,FutSheriff,@roxasorg13 no creo que quieras descansar más,79,0,2023-05-08 04:46:25+00:00
82,FutSheriff,🚨🚨🚨🚨 https://t.co/ZQOz5RpOMR,4862,314,2023-05-08 03:54:06+00:00
83,FutSheriff,@SorareFF twente🔥🔥,9,0,2023-05-07 23:17:38+00:00
84,FutSheriff,https://t.co/vVOAcN139X,2428,37,2023-05-07 23:17:10+00:00
85,FutSheriff,"Crazy Player.

Only 20’
@fctwente 
#sorare https://t.co/levhBaNVXX",233,4,2023-05-07 10:40:17+00:00
86,FutSheriff,"Should be

- Tchamadeu
- Mumba
- Scott https://t.co/7Egwz3NW13",1082,9,2023-05-07 10:22:52+00:00
87,FutSheriff,"“Young Player of The Season” is added to come.

No, not Ashley",3526,24,2023-05-07 10:16:58+00:00
88,FutSheriff,@SorareFF 🙏🏻,9,0,2023-05-07 09:42:07+00:00
89,FutSheriff,@roxasorg13 @fsheriff_backup .@TeamDUXGaming por favor dale mas dinero a este hombre,57,0,2023-05-07 06:52:23+00:00
90,FutSheriff,@SorareFF twente 6-0 today,8,0,2023-05-07 06:42:24+00:00
91,FutSheriff,"like this, follow @fsheriff_backup and tell me your plataform + country

12k FP giveaway that i will pick the winner in some hours",2633,401,2023-05-07 06:41:57+00:00
92,FutSheriff,@xmilianx_ https://t.co/Uba7gEcAMB,32,0,2023-05-07 06:34:11+00:00
93,FutSheriff,"🚨EFL TEAM OF THE SEASON is here🔥

Thoughts?

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x 

#fifa23 https://t.co/L2A7yfQw8l",4790,131,2023-05-06 21:43:50+00:00
94,FutSheriff,"@NepentheZ WWWWW

but what happened to Joao Mario🥹",155,0,2023-05-06 21:39:52+00:00
95,FutSheriff,"@ni2las @RTFKT @Sorare FutSheriff

🔥",3,0,2023-05-06 21:38:28+00:00
96,FutSheriff,Creator code Sheriff for more🤝 https://t.co/23XotQStU7,152,3,2023-05-06 17:09:29+00:00
97,FutSheriff,"And the winner of 12K FIFA POINTS giveaway is:

@EwokZombieBoy !

Congrats mate, please DM @PatrickJamesF to redeem your code!!! https://t.co/oIvqOEKz5Z",203,20,2023-05-06 15:48:51+00:00
98,FutSheriff,"Actually 12k fifa points giveaway

1 Winner then👀 https://t.co/HEvQ1UVmiH",667,159,2023-05-06 08:38:02+00:00
99,FutSheriff,@NYKchazza That’s Haaland mate,821,2,2023-05-06 08:36:45+00:00
100,FutSheriff,If you want to sell your coins.. Safely and fast… https://t.co/6wnFT9dtgP,88,1,2023-05-05 18:46:54+00:00
101,FutSheriff,"https://t.co/1Kh5QHgrbg

join us! https://t.co/6FK4D663Yj",245,8,2023-05-05 18:07:11+00:00
102,FutSheriff,show me some of your packs,1630,13,2023-05-05 17:05:22+00:00
103,FutSheriff,"🚨TOTS PL DAAAAAAY😍👀🔥

To enter:

- LIKE❤️

- Follow + @PatrickJamesF + @fifa_romania + @MysteryFootba11 

Simple as that. 

Good Luck!🤞 https://t.co/Um2IsqBu1Q",4358,1042,2023-05-05 15:38:43+00:00
104,FutSheriff,"@AdemGabsi 
@bebeIoenvidioso 
@alfie1705

please DM @FUTCoinShop to redeem it https://t.co/xakuBgMWeR",10,1,2023-05-05 15:33:22+00:00
105,FutSheriff,@SorareFF facts 😭,2,0,2023-05-05 14:34:02+00:00
106,FutSheriff,guess he will be bench this gw? https://t.co/WOInA0Nq4b,317,13,2023-05-05 08:37:25+00:00
107,FutSheriff,"@HartgerinkSem thank you mate!
&lt;3",1,0,2023-05-04 21:22:48+00:00
108,FutSheriff,"Any suggestions? Really believe Twente has a great matchup.

And also going to see what happens to Juan Caceres, do we know if he starts?

any helps are appreciated

(wont put joao mario so for sure he will be a masterclass)

#sorare https://t.co/Sazjjys1Y2",154,1,2023-05-04 21:20:49+00:00
109,FutSheriff,"@roxasorg13 no te preocupes, dux no te paga por hora",305,0,2023-05-04 17:39:48+00:00
110,FutSheriff,@roxasorg13 @FraFilter no te invité a hablar,196,1,2023-05-04 17:37:40+00:00
111,FutSheriff,@FraFilter estaba hablando de tu fav,162,1,2023-05-04 14:42:55+00:00
112,FutSheriff,guys we made it again🥹❤️ https://t.co/mHfcrDXKeO,3752,33,2023-05-04 12:16:36+00:00
113,FutSheriff,"🚨James, Son and Varane are coming as TOTS MOMENTS🔥

Inject it🔥

Make sure to follow @FutSheriff &amp; @Criminal__x 

💰 If you want to make coins &amp; learn the market 📈join my Trading group with @MitchTrading and @ImADuckQuackk (link on description)

💸🤑  If you want to buy coins… https://t.co/11gtV9Yo7M https://t.co/DbTX1dDAo6",8665,229,2023-05-04 11:19:28+00:00
114,FutSheriff,@alpha_fut1 @Criminal__x @MitchTrading @ImADuckQuackk your source is shit just like you xd,241,0,2023-05-04 11:16:21+00:00
115,FutSheriff,@NepentheZ ✅🔥,214,1,2023-05-04 11:13:00+00:00
